sample_id	input_path	reads.in	reads.out	filt_f	filt_r
X2.1t30	X2.1t30_R1.trimmed.fastq.gz	64301	59077	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.1t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.1t30_R2.filtered.fastq.gz
X2.1t7	X2.1t7_R1.trimmed.fastq.gz	62030	54110	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.1t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.1t7_R2.filtered.fastq.gz
X2.1t90	X2.1t90_R1.trimmed.fastq.gz	63727	59564	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.1t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.1t90_R2.filtered.fastq.gz
X2.2t30	X2.2t30_R1.trimmed.fastq.gz	62029	55250	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.2t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.2t30_R2.filtered.fastq.gz
X2.2t7	X2.2t7_R1.trimmed.fastq.gz	65290	60049	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.2t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.2t7_R2.filtered.fastq.gz
X2.2t90	X2.2t90_R1.trimmed.fastq.gz	47463	44008	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.2t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.2t90_R2.filtered.fastq.gz
X2.3t30	X2.3t30_R1.trimmed.fastq.gz	65270	59527	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.3t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.3t30_R2.filtered.fastq.gz
X2.3t7	X2.3t7_R1.trimmed.fastq.gz	63348	58787	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.3t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.3t7_R2.filtered.fastq.gz
X2.3t90	X2.3t90_R1.trimmed.fastq.gz	60140	55623	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.3t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.3t90_R2.filtered.fastq.gz
X2.4t30	X2.4t30_R1.trimmed.fastq.gz	65068	58373	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.4t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.4t30_R2.filtered.fastq.gz
X2.4t7	X2.4t7_R1.trimmed.fastq.gz	79128	72511	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.4t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.4t7_R2.filtered.fastq.gz
X2.4t90	X2.4t90_R1.trimmed.fastq.gz	83523	79340	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.4t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.4t90_R2.filtered.fastq.gz
X2.5t30	X2.5t30_R1.trimmed.fastq.gz	63981	58343	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.5t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.5t30_R2.filtered.fastq.gz
