sample_id	input_path	reads.in	reads.out	filt_f	filt_r
Y2.5t30	Y2.5t30_R1.trimmed.fastq.gz	71995	61548	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.5t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.5t30_R2.filtered.fastq.gz
Y2.5t7	Y2.5t7_R1.trimmed.fastq.gz	62618	57262	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.5t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.5t7_R2.filtered.fastq.gz
Y2.5t90	Y2.5t90_R1.trimmed.fastq.gz	62601	57614	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.5t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.5t90_R2.filtered.fastq.gz
Y3	Y3_R1.trimmed.fastq.gz	65513	59469	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3_R2.filtered.fastq.gz
Y3.1t30	Y3.1t30_R1.trimmed.fastq.gz	73076	66086	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.1t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.1t30_R2.filtered.fastq.gz
Y3.1t7	Y3.1t7_R1.trimmed.fastq.gz	64861	60297	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.1t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.1t7_R2.filtered.fastq.gz
Y3.1t90	Y3.1t90_R1.trimmed.fastq.gz	66711	61439	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.1t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.1t90_R2.filtered.fastq.gz
Y3.2t30	Y3.2t30_R1.trimmed.fastq.gz	62486	56882	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.2t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.2t30_R2.filtered.fastq.gz
Y3.2t7	Y3.2t7_R1.trimmed.fastq.gz	78800	74167	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.2t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.2t7_R2.filtered.fastq.gz
Y3.2t90	Y3.2t90_R1.trimmed.fastq.gz	66727	60919	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.2t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.2t90_R2.filtered.fastq.gz
Y3.3t30	Y3.3t30_R1.trimmed.fastq.gz	66736	61410	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.3t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.3t30_R2.filtered.fastq.gz
Y3.3t7	Y3.3t7_R1.trimmed.fastq.gz	64727	58181	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.3t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.3t7_R2.filtered.fastq.gz
Y3.3t90	Y3.3t90_R1.trimmed.fastq.gz	64145	59151	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.3t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.3t90_R2.filtered.fastq.gz
Y3.4t30	Y3.4t30_R1.trimmed.fastq.gz	63363	57892	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.4t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.4t30_R2.filtered.fastq.gz
Y3.4t7	Y3.4t7_R1.trimmed.fastq.gz	64954	59284	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.4t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.4t7_R2.filtered.fastq.gz
Y3.4t90	Y3.4t90_R1.trimmed.fastq.gz	65469	59834	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.4t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.4t90_R2.filtered.fastq.gz
Y3.5t30	Y3.5t30_R1.trimmed.fastq.gz	65217	59293	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.5t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.5t30_R2.filtered.fastq.gz
Y3.5t7	Y3.5t7_R1.trimmed.fastq.gz	79328	73204	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.5t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.5t7_R2.filtered.fastq.gz
Y3.5t90	Y3.5t90_R1.trimmed.fastq.gz	66095	60572	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.5t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y3.5t90_R2.filtered.fastq.gz
Z1.1t30	Z1.1t30_R1.trimmed.fastq.gz	72440	66229	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.1t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.1t30_R2.filtered.fastq.gz
Z1.1t7	Z1.1t7_R1.trimmed.fastq.gz	64747	59323	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.1t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.1t7_R2.filtered.fastq.gz
Z1.1t90	Z1.1t90_R1.trimmed.fastq.gz	64893	59935	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.1t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.1t90_R2.filtered.fastq.gz
Z1.2t30	Z1.2t30_R1.trimmed.fastq.gz	79921	71797	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.2t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.2t30_R2.filtered.fastq.gz
Z1.2t7	Z1.2t7_R1.trimmed.fastq.gz	64607	59761	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.2t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.2t7_R2.filtered.fastq.gz
Z1.2t90	Z1.2t90_R1.trimmed.fastq.gz	64338	57398	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.2t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.2t90_R2.filtered.fastq.gz
Z1.3t30	Z1.3t30_R1.trimmed.fastq.gz	62088	56409	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.3t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.3t30_R2.filtered.fastq.gz
Z1.3t7	Z1.3t7_R1.trimmed.fastq.gz	68442	61359	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.3t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.3t7_R2.filtered.fastq.gz
Z1.3t90	Z1.3t90_R1.trimmed.fastq.gz	63616	58209	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.3t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.3t90_R2.filtered.fastq.gz
Z1.4t30	Z1.4t30_R1.trimmed.fastq.gz	64809	59789	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.4t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.4t30_R2.filtered.fastq.gz
Z1.4t7	Z1.4t7_R1.trimmed.fastq.gz	65483	59680	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.4t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.4t7_R2.filtered.fastq.gz
Z1.4t90	Z1.4t90_R1.trimmed.fastq.gz	65836	59853	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.4t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.4t90_R2.filtered.fastq.gz
Z1.5t30	Z1.5t30_R1.trimmed.fastq.gz	79288	71572	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.5t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.5t30_R2.filtered.fastq.gz
Z1.5t7	Z1.5t7_R1.trimmed.fastq.gz	62610	57139	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.5t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z1.5t7_R2.filtered.fastq.gz
Z2.1t7	Z2.1t7_R1.trimmed.fastq.gz	70959	63623	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.1t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.1t7_R2.filtered.fastq.gz
Z2.1t90	Z2.1t90_R1.trimmed.fastq.gz	66389	59947	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.1t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.1t90_R2.filtered.fastq.gz
Z2.2t30	Z2.2t30_R1.trimmed.fastq.gz	66371	59135	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.2t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.2t30_R2.filtered.fastq.gz
Z2.2t7	Z2.2t7_R1.trimmed.fastq.gz	66454	61064	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.2t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.2t7_R2.filtered.fastq.gz
Z2.2t90	Z2.2t90_R1.trimmed.fastq.gz	71347	65604	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.2t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.2t90_R2.filtered.fastq.gz
Z2.3t30	Z2.3t30_R1.trimmed.fastq.gz	64454	58506	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.3t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.3t30_R2.filtered.fastq.gz
Z2.3t7	Z2.3t7_R1.trimmed.fastq.gz	63308	55834	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.3t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.3t7_R2.filtered.fastq.gz
Z2.3t90	Z2.3t90_R1.trimmed.fastq.gz	62755	56550	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.3t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.3t90_R2.filtered.fastq.gz
Z2.4t30	Z2.4t30_R1.trimmed.fastq.gz	66441	60041	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.4t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.4t30_R2.filtered.fastq.gz
Z2.4t7	Z2.4t7_R1.trimmed.fastq.gz	63178	55238	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.4t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.4t7_R2.filtered.fastq.gz
Z2.4t90	Z2.4t90_R1.trimmed.fastq.gz	63774	58967	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.4t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.4t90_R2.filtered.fastq.gz
Z2.5t30	Z2.5t30_R1.trimmed.fastq.gz	62269	56499	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.5t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.5t30_R2.filtered.fastq.gz
Z2.5t7	Z2.5t7_R1.trimmed.fastq.gz	62910	58618	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.5t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.5t7_R2.filtered.fastq.gz
Z2.5t90	Z2.5t90_R1.trimmed.fastq.gz	77731	71678	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.5t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z2.5t90_R2.filtered.fastq.gz
Z3	Z3_R1.trimmed.fastq.gz	76678	70025	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3_R2.filtered.fastq.gz
Z3.1t30	Z3.1t30_R1.trimmed.fastq.gz	73011	67148	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.1t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.1t30_R2.filtered.fastq.gz
Z3.1t7	Z3.1t7_R1.trimmed.fastq.gz	71460	59746	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.1t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.1t7_R2.filtered.fastq.gz
Z3.1t90	Z3.1t90_R1.trimmed.fastq.gz	72859	67596	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.1t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.1t90_R2.filtered.fastq.gz
Z3.2t30	Z3.2t30_R1.trimmed.fastq.gz	65062	58620	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.2t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.2t30_R2.filtered.fastq.gz
Z3.2t7	Z3.2t7_R1.trimmed.fastq.gz	64233	57928	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.2t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.2t7_R2.filtered.fastq.gz
Z3.2t90	Z3.2t90_R1.trimmed.fastq.gz	62131	56139	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.2t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.2t90_R2.filtered.fastq.gz
Z3.3t30	Z3.3t30_R1.trimmed.fastq.gz	64072	59392	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.3t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.3t30_R2.filtered.fastq.gz
Z3.3t7	Z3.3t7_R1.trimmed.fastq.gz	65152	59630	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.3t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.3t7_R2.filtered.fastq.gz
Z3.3t90	Z3.3t90_R1.trimmed.fastq.gz	72191	66254	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.3t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.3t90_R2.filtered.fastq.gz
Z3.4t30	Z3.4t30_R1.trimmed.fastq.gz	67564	61778	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.4t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.4t30_R2.filtered.fastq.gz
Z3.4t7	Z3.4t7_R1.trimmed.fastq.gz	62127	58271	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.4t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.4t7_R2.filtered.fastq.gz
Z3.4t90	Z3.4t90_R1.trimmed.fastq.gz	66550	59759	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.4t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.4t90_R2.filtered.fastq.gz
Z3.5t30	Z3.5t30_R1.trimmed.fastq.gz	63913	59089	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.5t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.5t30_R2.filtered.fastq.gz
Z3.5t7	Z3.5t7_R1.trimmed.fastq.gz	66440	59808	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.5t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.5t7_R2.filtered.fastq.gz
Z3.5t90	Z3.5t90_R1.trimmed.fastq.gz	69459	63675	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.5t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Z3.5t90_R2.filtered.fastq.gz
