asv_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	Species_addSpecies
ASV11667	NA	NA	NA	NA	NA	NA	NA	NA
ASV11651	NA	NA	NA	NA	NA	NA	NA	NA
ASV05052	NA	NA	NA	NA	NA	NA	NA	NA
ASV11708	NA	NA	NA	NA	NA	NA	NA	NA
ASV10735	NA	NA	NA	NA	NA	NA	NA	NA
ASV05925	NA	NA	NA	NA	NA	NA	NA	NA
ASV11664	NA	NA	NA	NA	NA	NA	NA	NA
ASV13451	NA	NA	NA	NA	NA	NA	NA	NA
ASV01708	NA	NA	NA	NA	NA	NA	NA	NA
ASV11201	NA	NA	NA	NA	NA	NA	NA	NA
ASV12248	NA	NA	NA	NA	NA	NA	NA	NA
ASV09942	NA	NA	NA	NA	NA	NA	NA	NA
ASV07214	NA	NA	NA	NA	NA	NA	NA	NA
ASV03108	NA	NA	NA	NA	NA	NA	NA	NA
ASV03387	NA	NA	NA	NA	NA	NA	NA	NA
ASV06756	NA	NA	NA	NA	NA	NA	NA	NA
ASV03396	NA	NA	NA	NA	NA	NA	NA	NA
ASV02347	NA	NA	NA	NA	NA	NA	NA	NA
ASV03254	NA	NA	NA	NA	NA	NA	NA	NA
ASV13123	NA	NA	NA	NA	NA	NA	NA	NA
ASV02253	NA	NA	NA	NA	NA	NA	NA	NA
ASV02542	NA	NA	NA	NA	NA	NA	NA	NA
ASV05961	NA	NA	NA	NA	NA	NA	NA	NA
ASV07911	NA	NA	NA	NA	NA	NA	NA	NA
ASV04879	NA	NA	NA	NA	NA	NA	NA	NA
ASV03118	NA	NA	NA	NA	NA	NA	NA	NA
ASV13102	NA	NA	NA	NA	NA	NA	NA	NA
ASV10743	NA	NA	NA	NA	NA	NA	NA	NA
ASV11728	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	NA
ASV11670	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	NA
ASV09916	NA	NA	NA	NA	NA	NA	NA	NA
ASV11184	NA	NA	NA	NA	NA	NA	NA	NA
ASV06201	NA	NA	NA	NA	NA	NA	NA	NA
ASV11177	NA	NA	NA	NA	NA	NA	NA	NA
ASV13163	NA	NA	NA	NA	NA	NA	NA	NA
ASV10195	NA	NA	NA	NA	NA	NA	NA	NA
ASV13980	NA	NA	NA	NA	NA	NA	NA	NA
ASV11202	NA	NA	NA	NA	NA	NA	NA	NA
ASV13908	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV13926	NA	NA	NA	NA	NA	NA	NA	NA
ASV14182	NA	NA	NA	NA	NA	NA	NA	NA
ASV14184	NA	NA	NA	NA	NA	NA	NA	NA
ASV06360	NA	NA	NA	NA	NA	NA	NA	NA
ASV08548	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV07215	NA	NA	NA	NA	NA	NA	NA	NA
ASV12194	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV12562	NA	NA	NA	NA	NA	NA	NA	NA
ASV13573	NA	NA	NA	NA	NA	NA	NA	NA
ASV06165	NA	NA	NA	NA	NA	NA	NA	NA
