sample_id	sample_id_clean	sample_type	include_qc	include_biological_analysis	diet_code	diet_label	hydrolysate_percent	fishmeal_percent	timepoint_day	tank	fish	group	forward_raw	reverse_raw	forward_symlink	reverse_symlink	treatment	treatment_label	timepoint_label
X1.3t90	Ctrl_D90_Tk1_F03	Intestine	yes	yes	Ctrl	control	0	30	90	1	3	Ctrl_D90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t90/X1.3t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.3t90/X1.3t90.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t90/X1.3t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.3t90/X1.3t90.raw_2.fastq.gz	Ctrl	control	D90
X1.4t30	Ctrl_D30_Tk1_F04	Intestine	yes	yes	Ctrl	control	0	30	30	1	4	Ctrl_D30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.4t30/X1.4t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.4t30/X1.4t30.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.4t30/X1.4t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.4t30/X1.4t30.raw_2.fastq.gz	Ctrl	control	D30
X1.4t7	Ctrl_D07_Tk1_F04	Intestine	yes	yes	Ctrl	control	0	30	7	1	4	Ctrl_D07	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.4t7/X1.4t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.4t7/X1.4t7.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.4t7/X1.4t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.4t7/X1.4t7.raw_2.fastq.gz	Ctrl	control	D07
X1.4t90	Ctrl_D90_Tk1_F04	Intestine	yes	yes	Ctrl	control	0	30	90	1	4	Ctrl_D90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.4t90/X1.4t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.4t90/X1.4t90.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.4t90/X1.4t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.4t90/X1.4t90.raw_2.fastq.gz	Ctrl	control	D90
X1.5t30	Ctrl_D30_Tk1_F05	Intestine	yes	yes	Ctrl	control	0	30	30	1	5	Ctrl_D30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.5t30/X1.5t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.5t30/X1.5t30.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.5t30/X1.5t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.5t30/X1.5t30.raw_2.fastq.gz	Ctrl	control	D30
X1.5t7	Ctrl_D07_Tk1_F05	Intestine	yes	yes	Ctrl	control	0	30	7	1	5	Ctrl_D07	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.5t7/X1.5t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.5t7/X1.5t7.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.5t7/X1.5t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.5t7/X1.5t7.raw_2.fastq.gz	Ctrl	control	D07
X1.5t90	Ctrl_D90_Tk1_F05	Intestine	yes	yes	Ctrl	control	0	30	90	1	5	Ctrl_D90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.5t90/X1.5t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X1.5t90/X1.5t90.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.5t90/X1.5t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X1.5t90/X1.5t90.raw_2.fastq.gz	Ctrl	control	D90
X2.1t30	Ctrl_D30_Tk2_F01	Intestine	yes	yes	Ctrl	control	0	30	30	2	1	Ctrl_D30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.1t30/X2.1t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.1t30/X2.1t30.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.1t30/X2.1t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.1t30/X2.1t30.raw_2.fastq.gz	Ctrl	control	D30
X2.1t7	Ctrl_D07_Tk2_F01	Intestine	yes	yes	Ctrl	control	0	30	7	2	1	Ctrl_D07	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.1t7/X2.1t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.1t7/X2.1t7.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.1t7/X2.1t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.1t7/X2.1t7.raw_2.fastq.gz	Ctrl	control	D07
X2.1t90	Ctrl_D90_Tk2_F01	Intestine	yes	yes	Ctrl	control	0	30	90	2	1	Ctrl_D90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.1t90/X2.1t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.1t90/X2.1t90.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.1t90/X2.1t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.1t90/X2.1t90.raw_2.fastq.gz	Ctrl	control	D90
X2.2t30	Ctrl_D30_Tk2_F02	Intestine	yes	yes	Ctrl	control	0	30	30	2	2	Ctrl_D30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.2t30/X2.2t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.2t30/X2.2t30.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.2t30/X2.2t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.2t30/X2.2t30.raw_2.fastq.gz	Ctrl	control	D30
X2.2t7	Ctrl_D07_Tk2_F02	Intestine	yes	yes	Ctrl	control	0	30	7	2	2	Ctrl_D07	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.2t7/X2.2t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.2t7/X2.2t7.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.2t7/X2.2t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.2t7/X2.2t7.raw_2.fastq.gz	Ctrl	control	D07
X2.2t90	Ctrl_D90_Tk2_F02	Intestine	yes	yes	Ctrl	control	0	30	90	2	2	Ctrl_D90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.2t90/X2.2t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.2t90/X2.2t90.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.2t90/X2.2t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.2t90/X2.2t90.raw_2.fastq.gz	Ctrl	control	D90
X2.3t30	Ctrl_D30_Tk2_F03	Intestine	yes	yes	Ctrl	control	0	30	30	2	3	Ctrl_D30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.3t30/X2.3t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.3t30/X2.3t30.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.3t30/X2.3t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.3t30/X2.3t30.raw_2.fastq.gz	Ctrl	control	D30
X2.3t7	Ctrl_D07_Tk2_F03	Intestine	yes	yes	Ctrl	control	0	30	7	2	3	Ctrl_D07	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.3t7/X2.3t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.3t7/X2.3t7.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.3t7/X2.3t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.3t7/X2.3t7.raw_2.fastq.gz	Ctrl	control	D07
X2.3t90	Ctrl_D90_Tk2_F03	Intestine	yes	yes	Ctrl	control	0	30	90	2	3	Ctrl_D90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.3t90/X2.3t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.3t90/X2.3t90.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.3t90/X2.3t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.3t90/X2.3t90.raw_2.fastq.gz	Ctrl	control	D90
X2.4t30	Ctrl_D30_Tk2_F04	Intestine	yes	yes	Ctrl	control	0	30	30	2	4	Ctrl_D30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.4t30/X2.4t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.4t30/X2.4t30.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.4t30/X2.4t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.4t30/X2.4t30.raw_2.fastq.gz	Ctrl	control	D30
X2.4t7	Ctrl_D07_Tk2_F04	Intestine	yes	yes	Ctrl	control	0	30	7	2	4	Ctrl_D07	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.4t7/X2.4t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.4t7/X2.4t7.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.4t7/X2.4t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.4t7/X2.4t7.raw_2.fastq.gz	Ctrl	control	D07
X2.4t90	Ctrl_D90_Tk2_F04	Intestine	yes	yes	Ctrl	control	0	30	90	2	4	Ctrl_D90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.4t90/X2.4t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.4t90/X2.4t90.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.4t90/X2.4t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.4t90/X2.4t90.raw_2.fastq.gz	Ctrl	control	D90
X2.5t30	Ctrl_D30_Tk2_F05	Intestine	yes	yes	Ctrl	control	0	30	30	2	5	Ctrl_D30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.5t30/X2.5t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.5t30/X2.5t30.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.5t30/X2.5t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.5t30/X2.5t30.raw_2.fastq.gz	Ctrl	control	D30
X2.5t7	Ctrl_D07_Tk2_F05	Intestine	yes	yes	Ctrl	control	0	30	7	2	5	Ctrl_D07	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.5t7/X2.5t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.5t7/X2.5t7.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.5t7/X2.5t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.5t7/X2.5t7.raw_2.fastq.gz	Ctrl	control	D07
X2.5t90	Ctrl_D90_Tk2_F05	Intestine	yes	yes	Ctrl	control	0	30	90	2	5	Ctrl_D90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.5t90/X2.5t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.5t90/X2.5t90.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.5t90/X2.5t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.5t90/X2.5t90.raw_2.fastq.gz	Ctrl	control	D90
X3	Ctrl_Feed	Feed	yes	no	Ctrl	control_feed	0	30	NA	3	NA	Ctrl_Feed	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3/X3.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3/X3.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3/X3.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3/X3.raw_2.fastq.gz	Ctrl	control_feed	NA
X3.1t30	Ctrl_D30_Tk3_F01	Intestine	yes	yes	Ctrl	control	0	30	30	3	1	Ctrl_D30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.1t30/X3.1t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.1t30/X3.1t30.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.1t30/X3.1t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.1t30/X3.1t30.raw_2.fastq.gz	Ctrl	control	D30
X3.1t7	Ctrl_D07_Tk3_F01	Intestine	yes	yes	Ctrl	control	0	30	7	3	1	Ctrl_D07	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.1t7/X3.1t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.1t7/X3.1t7.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.1t7/X3.1t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.1t7/X3.1t7.raw_2.fastq.gz	Ctrl	control	D07
X3.1t90	Ctrl_D90_Tk3_F01	Intestine	yes	yes	Ctrl	control	0	30	90	3	1	Ctrl_D90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.1t90/X3.1t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.1t90/X3.1t90.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.1t90/X3.1t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.1t90/X3.1t90.raw_2.fastq.gz	Ctrl	control	D90
X3.2t30	Ctrl_D30_Tk3_F02	Intestine	yes	yes	Ctrl	control	0	30	30	3	2	Ctrl_D30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.2t30/X3.2t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.2t30/X3.2t30.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.2t30/X3.2t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.2t30/X3.2t30.raw_2.fastq.gz	Ctrl	control	D30
X3.2t7	Ctrl_D07_Tk3_F02	Intestine	yes	yes	Ctrl	control	0	30	7	3	2	Ctrl_D07	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.2t7/X3.2t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.2t7/X3.2t7.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.2t7/X3.2t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.2t7/X3.2t7.raw_2.fastq.gz	Ctrl	control	D07
X3.2t90	Ctrl_D90_Tk3_F02	Intestine	yes	yes	Ctrl	control	0	30	90	3	2	Ctrl_D90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.2t90/X3.2t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.2t90/X3.2t90.raw_2.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.2t90/X3.2t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.2t90/X3.2t90.raw_2.fastq.gz	Ctrl	control	D90
