sample_id	expected	sample_type	include_qc	include_biological_analysis	diet_code	diet_label	hydrolysate_percent	fishmeal_percent	timepoint_day	tank	fish	group	observed_raw_pair
Z1.5t90	yes	Intestine	yes	yes	Z	blue_whiting_hydrolysate_30	30	0	90	1	5	Z.t90	no
Z2.1t30	yes	Intestine	yes	yes	Z	blue_whiting_hydrolysate_30	30	0	30	2	1	Z.t30	no
