"assemblage","sequencing_depth","Method","expected_asvs","timepoint","diet_code","samples","total_reads","observed_asvs_pooled"
"D07__BL15",67000,"Rarefaction",134.608178838907,"D07","BL15",15,746251,138
"D07__BL15",68000,"Rarefaction",134.671577338321,"D07","BL15",15,746251,138
"D07__BL15",69000,"Rarefaction",134.733184723446,"D07","BL15",15,746251,138
"D07__BL15",70000,"Rarefaction",134.793076600612,"D07","BL15",15,746251,138
"D07__BL15",71000,"Rarefaction",134.851324283714,"D07","BL15",15,746251,138
"D07__BL15",72000,"Rarefaction",134.907995090059,"D07","BL15",15,746251,138
"D07__BL15",73000,"Rarefaction",134.963152612361,"D07","BL15",15,746251,138
"D07__BL15",74000,"Rarefaction",135.016856968205,"D07","BL15",15,746251,138
"D07__BL15",75000,"Rarefaction",135.069165031801,"D07","BL15",15,746251,138
"D07__BL15",76000,"Rarefaction",135.120130647045,"D07","BL15",15,746251,138
"D07__BL15",77000,"Rarefaction",135.169804823996,"D07","BL15",15,746251,138
"D07__BL15",78000,"Rarefaction",135.218235921222,"D07","BL15",15,746251,138
"D07__BL15",79000,"Rarefaction",135.26546981489,"D07","BL15",15,746251,138
"D07__BL15",80000,"Rarefaction",135.311550054491,"D07","BL15",15,746251,138
"D07__BL15",81000,"Rarefaction",135.356518007814,"D07","BL15",15,746251,138
"D07__BL15",82000,"Rarefaction",135.400412995939,"D07","BL15",15,746251,138
"D07__BL15",83000,"Rarefaction",135.443272417481,"D07","BL15",15,746251,138
"D07__BL15",84000,"Rarefaction",135.485131865247,"D07","BL15",15,746251,138
"D07__BL15",85000,"Rarefaction",135.526025233807,"D07","BL15",15,746251,138
"D07__BL15",86000,"Rarefaction",135.565984820934,"D07","BL15",15,746251,138
"D07__BL15",87000,"Rarefaction",135.605041420122,"D07","BL15",15,746251,138
"D07__BL15",88000,"Rarefaction",135.643224408795,"D07","BL15",15,746251,138
"D07__BL15",89000,"Rarefaction",135.68056182942,"D07","BL15",15,746251,138
"D07__BL15",90000,"Rarefaction",135.71708046608,"D07","BL15",15,746251,138
"D07__BL15",91000,"Rarefaction",135.752805915105,"D07","BL15",15,746251,138
"D07__BL15",92000,"Rarefaction",135.787762651093,"D07","BL15",15,746251,138
"D07__BL15",93000,"Rarefaction",135.821974089745,"D07","BL15",15,746251,138
"D07__BL15",94000,"Rarefaction",135.855462645815,"D07","BL15",15,746251,138
"D07__BL15",95000,"Rarefaction",135.888249787557,"D07","BL15",15,746251,138
"D07__BL15",96000,"Rarefaction",135.920356087178,"D07","BL15",15,746251,138
"D07__BL15",97000,"Rarefaction",135.951801269244,"D07","BL15",15,746251,138
"D07__BL15",98000,"Rarefaction",135.982604255251,"D07","BL15",15,746251,138
"D07__BL15",99000,"Rarefaction",136.012783205822,"D07","BL15",15,746251,138
"D07__BL15",1e+05,"Rarefaction",136.042355559698,"D07","BL15",15,746251,138
"D07__BL15",101000,"Rarefaction",136.071338071467,"D07","BL15",15,746251,138
"D07__BL15",102000,"Rarefaction",136.099746845666,"D07","BL15",15,746251,138
"D07__BL15",103000,"Rarefaction",136.127597370766,"D07","BL15",15,746251,138
"D07__BL15",104000,"Rarefaction",136.154904548329,"D07","BL15",15,746251,138
"D07__BL15",105000,"Rarefaction",136.181682723287,"D07","BL15",15,746251,138
"D07__BL15",106000,"Rarefaction",136.207945710886,"D07","BL15",15,746251,138
"D07__BL15",107000,"Rarefaction",136.233706821907,"D07","BL15",15,746251,138
"D07__BL15",108000,"Rarefaction",136.25897888772,"D07","BL15",15,746251,138
"D07__BL15",109000,"Rarefaction",136.283774282622,"D07","BL15",15,746251,138
"D07__BL15",110000,"Rarefaction",136.308104945279,"D07","BL15",15,746251,138
"D07__BL15",111000,"Rarefaction",136.331982399805,"D07","BL15",15,746251,138
