"object","taxa","samples","total_reads","min_asv_reads","q1_asv_reads","median_asv_reads","mean_asv_reads","q3_asv_reads","max_asv_reads","min_prevalence_samples","median_prevalence_samples","mean_prevalence_samples","max_prevalence_samples","min_mean_relative_abundance","median_mean_relative_abundance","mean_mean_relative_abundance","max_mean_relative_abundance"
"raw_all_samples",14652,138,7667921,1,6,11,523.336131586132,31,2011726,1,1,1.42110292110292,129,9.17843801341888e-08,1.77995946870475e-06,6.82500682500683e-05,0.255498019853466
"taxonomic_filter",12461,138,7481712,1,6,11,600.41023994864,27,2011726,1,1,1.44394510873927,129,9.21883976845224e-08,1.75661998209525e-06,8.02503811893106e-05,0.260693224203415
"prevalence_filter",1101,138,7230537,2,27,86,6567.24523160763,255,2011726,1,3,5.7102633969119,129,2.75758307770538e-07,1.60199719787015e-05,0.000908265213442325,0.262758941586789
"mean_abundance_filter",175,138,7133190,464,867,1638,40761.0857142857,5460,2011726,2,13,18.5942857142857,129,0.000104269089365427,0.000368657909328912,0.00571428571428571,0.263566256273073
"final_all_samples",175,138,7133190,464,867,1638,40761.0857142857,5460,2011726,2,13,18.5942857142857,129,0.000104269089365427,0.000368657909328912,0.00571428571428571,0.263566256273073
"final_biological_intestine",169,133,6931390,12,692,1354,41014.1420118343,3758,2011726,1,12,18.6863905325444,129,2.37667107209057e-06,0.000272562099275726,0.00591715976331361,0.273474762148001
