"object","samples","min_reads","q1_reads","median_reads","mean_reads","q3_reads","max_reads","total_reads"
"raw_all_samples",138,28400,51835,56881,55564.6449275362,59024.5,86842,7667921
"taxonomic_filter",138,17587,48938.75,56361,54215.3043478261,58770.75,86359,7481712
"prevalence_filter",138,17336,46990.5,55616.5,52395.1956521739,58271.5,86087,7230537
"mean_abundance_filter",138,17111,45222.75,55392,51689.7826086957,58223.75,86030,7133190
"final_all_samples",138,17111,45222.75,55392,51689.7826086957,58223.75,86030,7133190
"final_biological_intestine",133,17111,47028,55673,52115.7142857143,58334,86030,6931390
