"term","Df","SumOfSqs","R2","F","Pr(>F)","distance","taxonomic_level","comparison","stratum","formula","group_1","group_2"
"Model",1,1709.92708334611,0.228226049070353,8.28005320245954,0.001,"aitchison","ASV","time_within_diet","Ctrl","timepoint","D30","D90"
"Model",1,2773.35927699331,0.167437828228718,5.63112203432183,0.001,"aitchison","ASV","time_within_diet","Ctrl","timepoint","D07","D90"
"Model",1,1729.35873177044,0.122378873806524,3.90442796363047,0.001,"aitchison","ASV","time_within_diet","BL15","timepoint","D30","D07"
"Model",1,1568.91251995276,0.178642935701284,6.08992412320301,0.001,"aitchison","ASV","time_within_diet","BL15","timepoint","D30","D90"
"Model",1,1703.61509196002,0.130087172428721,4.18713313858536,0.001,"aitchison","ASV","time_within_diet","BL15","timepoint","D07","D90"
"Model",1,2276.40528407579,0.153228905515231,4.88583098296307,0.001,"aitchison","ASV","time_within_diet","BL30","timepoint","D30","D07"
"Model",1,1673.76084816493,0.224678940276562,7.53449474115195,0.001,"aitchison","ASV","time_within_diet","BL30","timepoint","D30","D90"
"Model",1,2217.84845962331,0.15548006432752,4.97082609838009,0.001,"aitchison","ASV","time_within_diet","BL30","timepoint","D07","D90"
"Model",1,3363.64976835894,0.130427256398573,6.89954214696998,0.001,"aitchison","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed","Ctrl","Feed"
"Model",1,799.867697846465,0.0129900306519285,1.72408999731443,0.079,"aitchison","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed","Ctrl","Hydrolysate"
"Model",1,3639.06150343365,0.085669421844588,8.33897359043849,0.001,"aitchison","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed","Feed","Hydrolysate"
"Model",1,282.003323599285,0.015267580770782,1.36437785696185,0.174,"aitchison","Genus","diet_global",,"diet_code","Ctrl","BL15"
"Model",1,377.861642510599,0.0203773741242864,1.78890741026123,0.084,"aitchison","Genus","diet_global",,"diet_code","Ctrl","BL30"
"Model",1,160.364991631404,0.0098165998959107,0.852597196599715,0.508,"aitchison","Genus","diet_global",,"diet_code","BL15","BL30"
"Model",1,3039.77433935149,0.146785601480466,14.9673368744821,0.001,"aitchison","Genus","timepoint_global",,"timepoint","D30","D07"
"Model",1,1861.5652007978,0.199238170993873,21.3977266208352,0.001,"aitchison","Genus","timepoint_global",,"timepoint","D30","D90"
"Model",1,4521.78228141781,0.221535916737682,24.7585279405675,0.001,"aitchison","Genus","timepoint_global",,"timepoint","D07","D90"
"Model",1,278.271015283464,0.0903307093320019,2.78041689132843,0.029,"aitchison","Genus","diet_within_timepoint","D30","diet_code","Ctrl","BL15"
"Model",1,397.393010055897,0.136755302927742,4.27734244018178,0.002,"aitchison","Genus","diet_within_timepoint","D30","diet_code","Ctrl","BL30"
"Model",1,153.037221439478,0.0510299804925833,1.45189989670583,0.192,"aitchison","Genus","diet_within_timepoint","D30","diet_code","BL15","BL30"
"Model",1,488.697082369014,0.0537118710248998,1.5892964760385,0.137,"aitchison","Genus","diet_within_timepoint","D07","diet_code","Ctrl","BL15"
"Model",1,434.431684514868,0.0479605961695908,1.410547386322,0.2,"aitchison","Genus","diet_within_timepoint","D07","diet_code","Ctrl","BL30"
"Model",1,208.05951758142,0.0275833506553817,0.794241664693029,0.496,"aitchison","Genus","diet_within_timepoint","D07","diet_code","BL15","BL30"
"Model",1,49.3417406163826,0.0269167665999948,0.774516956958032,0.663,"aitchison","Genus","diet_within_timepoint","D90","diet_code","Ctrl","BL15"
"Model",1,110.298099904223,0.054502914041515,1.55640741888603,0.103,"aitchison","Genus","diet_within_timepoint","D90","diet_code","Ctrl","BL30"
"Model",1,66.7289608505417,0.0376817239138524,1.05724537396496,0.439,"aitchison","Genus","diet_within_timepoint","D90","diet_code","BL15","BL30"
"Model",1,1548.74101396291,0.200342683476406,7.01499882690546,0.001,"aitchison","Genus","time_within_diet","Ctrl","timepoint","D30","D07"
"Model",1,812.119586643724,0.267049739752322,10.2017737336477,0.001,"aitchison","Genus","time_within_diet","Ctrl","timepoint","D30","D90"
"Model",1,2005.50306854834,0.252222466589942,9.44429158270216,0.001,"aitchison","Genus","time_within_diet","Ctrl","timepoint","D07","D90"
"Model",1,868.646687812482,0.142423663188413,4.65015462542051,0.001,"aitchison","Genus","time_within_diet","BL15","timepoint","D30","D07"
"Model",1,814.75852642279,0.25686856588584,9.67839538826266,0.001,"aitchison","Genus","time_within_diet","BL15","timepoint","D30","D90"
"Model",1,1439.48764589461,0.244509689798132,9.06202398878997,0.001,"aitchison","Genus","time_within_diet","BL15","timepoint","D07","D90"
"Model",1,1201.68869791304,0.195329502884496,6.55410704976347,0.001,"aitchison","Genus","time_within_diet","BL30","timepoint","D30","D07"
"Model",1,525.241945094247,0.193233676580098,6.22742353670064,0.001,"aitchison","Genus","time_within_diet","BL30","timepoint","D30","D90"
"Model",1,1566.40632505943,0.25438338583908,9.21163945010058,0.001,"aitchison","Genus","time_within_diet","BL30","timepoint","D07","D90"
"Model",1,1858.18599091121,0.154540635881709,8.40829205076256,0.001,"aitchison","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed","Ctrl","Feed"
"Model",1,386.584203319212,0.0144184096432616,1.91644373408355,0.075,"aitchison","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed","Ctrl","Hydrolysate"
"Model",1,1949.82969153882,0.106185308682217,10.5732122827206,0.001,"aitchison","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed","Feed","Hydrolysate"
