"term","Df","SumOfSqs","R2","F","Pr(>F)","distance","taxonomic_level","comparison","stratum","formula"
"Residual",41,8287.24444763433,0.95481417515132,,,"aitchison","ASV","diet_within_timepoint_local_ordination","D90","diet_code"
"Total",43,8679.43172955194,1,,,"aitchison","ASV","diet_within_timepoint_local_ordination","D90","diet_code"
"Model",1,1331.73438745561,0.0445588351697894,2.0053876500511,0.079,"aitchison","ASV","hydro_within_timepoint_local_ordination","D07","hydro_group"
"Residual",43,28555.3661702923,0.955441164830211,,,"aitchison","ASV","hydro_within_timepoint_local_ordination","D07","hydro_group"
"Total",44,29887.1005577479,1,,,"aitchison","ASV","hydro_within_timepoint_local_ordination","D07","hydro_group"
"Model",1,623.836347154799,0.0589415624250329,2.63059712660424,0.008,"aitchison","ASV","hydro_within_timepoint_local_ordination","D30","hydro_group"
"Residual",42,9960.14414959994,0.941058437574967,,,"aitchison","ASV","hydro_within_timepoint_local_ordination","D30","hydro_group"
"Total",43,10583.9804967547,1,,,"aitchison","ASV","hydro_within_timepoint_local_ordination","D30","hydro_group"
"Model",1,210.334250475427,0.0242336430574453,1.04309090098361,0.356,"aitchison","ASV","hydro_within_timepoint_local_ordination","D90","hydro_group"
"Residual",42,8469.09747907651,0.975766356942555,,,"aitchison","ASV","hydro_within_timepoint_local_ordination","D90","hydro_group"
"Total",43,8679.43172955194,1,,,"aitchison","ASV","hydro_within_timepoint_local_ordination","D90","hydro_group"
"Model",2,5443.97357306391,0.247270690248463,6.89847522601683,0.001,"aitchison","ASV","time_within_diet_local_ordination","Ctrl","timepoint"
"Residual",42,16572.2773930077,0.752729309751537,,,"aitchison","ASV","time_within_diet_local_ordination","Ctrl","timepoint"
"Total",44,22016.2509660716,1,,,"aitchison","ASV","time_within_diet_local_ordination","Ctrl","timepoint"
"Model",2,3297.66626510413,0.176721506358602,4.50777186844278,0.001,"aitchison","ASV","time_within_diet_local_ordination","BL15","timepoint"
"Residual",42,15362.5768091741,0.823278493641398,,,"aitchison","ASV","time_within_diet_local_ordination","BL15","timepoint"
"Total",44,18660.2430742783,1,,,"aitchison","ASV","time_within_diet_local_ordination","BL15","timepoint"
"Model",2,4017.26332900661,0.211546406950963,5.36610927557297,0.001,"aitchison","ASV","time_within_diet_local_ordination","BL30","timepoint"
"Residual",40,14972.7227780976,0.788453593049037,,,"aitchison","ASV","time_within_diet_local_ordination","BL30","timepoint"
"Total",42,18989.9861071042,1,,,"aitchison","ASV","time_within_diet_local_ordination","BL30","timepoint"
"Model",2,4404.35433461229,0.0673196198790264,4.79988087813598,0.001,"aitchison","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Residual",133,61020.1733517729,0.932680380120974,,,"aitchison","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Total",135,65424.5276863852,1,,,"aitchison","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Model",2,546.949194950615,0.0203995338638768,1.35358214597638,0.151,"aitchison","Genus","diet_global",,"diet_code"
"Residual",130,26264.8984972726,0.979600466136123,,,"aitchison","Genus","diet_global",,"diet_code"
"Total",132,26811.8476922232,1,,,"aitchison","Genus","diet_global",,"diet_code"
"Model",1,386.584203319212,0.0144184096432616,1.91644373408355,0.077,"aitchison","Genus","hydro_global",,"hydro_group"
"Residual",131,26425.263488904,0.985581590356738,,,"aitchison","Genus","hydro_global",,"hydro_group"
"Total",132,26811.8476922232,1,,,"aitchison","Genus","hydro_global",,"hydro_group"
"Model",2,6291.7013302156,0.234661236422006,19.9297109898393,0.001,"aitchison","Genus","timepoint_global",,"timepoint"
"Residual",130,20520.1463620076,0.765338763577995,,,"aitchison","Genus","timepoint_global",,"timepoint"
"Total",132,26811.8476922232,1,,,"aitchison","Genus","timepoint_global",,"timepoint"
"Model",8,7748.6596748345,0.289001331194418,6.30032211036161,0.001,"aitchison","Genus","diet_time_interaction",,"diet_code * timepoint"
"Residual",124,19063.1880173887,0.710998668805582,,,"aitchison","Genus","diet_time_interaction",,"diet_code * timepoint"
"Total",132,26811.8476922232,1,,,"aitchison","Genus","diet_time_interaction",,"diet_code * timepoint"
"Model",5,7320.83397496306,0.273044739735951,9.54025201877496,0.001,"aitchison","Genus","hydro_time_interaction",,"hydro_group * timepoint"
"Residual",127,19491.0137172602,0.726955260264049,,,"aitchison","Genus","hydro_time_interaction",,"hydro_group * timepoint"
"Total",132,26811.8476922232,1,,,"aitchison","Genus","hydro_time_interaction",,"hydro_group * timepoint"
"Model",2,552.513799360677,0.119310979181436,2.77722898253698,0.003,"aitchison","Genus","diet_within_timepoint","D30","diet_code"
"Residual",41,4078.35758524569,0.880689020818564,,,"aitchison","Genus","diet_within_timepoint","D30","diet_code"
"Total",43,4630.87138460637,1,,,"aitchison","Genus","diet_within_timepoint","D30","diet_code"
"Model",1,399.476577921199,0.0862638032334718,3.96512664008161,0.002,"aitchison","Genus","hydro_within_timepoint","D30","hydro_group"
"Residual",42,4231.39480668517,0.913736196766528,,,"aitchison","Genus","hydro_within_timepoint","D30","hydro_group"
"Total",43,4630.87138460637,1,,,"aitchison","Genus","hydro_within_timepoint","D30","hydro_group"
"Model",2,754.125522976868,0.0578392738794665,1.28919059964447,0.241,"aitchison","Genus","diet_within_timepoint","D07","diet_code"
"Residual",42,12284.1696075675,0.942160726120533,,,"aitchison","Genus","diet_within_timepoint","D07","diet_code"
"Total",44,13038.2951305443,1,,,"aitchison","Genus","diet_within_timepoint","D07","diet_code"
"Model",1,546.066005395448,0.0418817030852599,1.87963557158374,0.074,"aitchison","Genus","hydro_within_timepoint","D07","hydro_group"
"Residual",43,12492.2291251489,0.95811829691474,,,"aitchison","Genus","hydro_within_timepoint","D07","hydro_group"
"Total",44,13038.2951305443,1,,,"aitchison","Genus","hydro_within_timepoint","D07","hydro_group"
