"tax_level","panel","timepoint","taxon_plot","mean_rel_abundance","percent"
"Species","BL15","D90","Others",0.00519696069323797,0.519696069323797
"Species","BL15","D90","Cetobacterium unresolved",0.00370059329293814,0.370059329293814
"Species","BL15","D90","Acinetobacter johnsonii",0.00109585949975517,0.109585949975517
"Species","BL15","D90","Cutibacterium acnes",0.000153497505899567,0.0153497505899567
"Species","BL15","D90","Streptococcus unresolved",8.65871387472212e-05,0.00865871387472212
"Species","BL15","D90","Photobacterium phosphoreum",7.33988050674535e-06,0.000733988050674535
"Species","BL15","D90","Photobacterium unresolved",4.53638178189077e-06,0.000453638178189077
"Species","BL15","D90","Bacteroides dorei",0,0
"Species","BL15","D90","Bacteroides thetaiotaomicron",0,0
"Species","BL15","D90","Blautia unresolved",0,0
"Species","BL15","D90","Buchnera unresolved",0,0
"Species","BL15","D90","Candidatus Hamiltonella unresolved",0,0
"Species","BL15","D90","Delftia acidovorans",0,0
"Species","BL30","D07","Vibrio scophthalmi",0.440504047192426,44.0504047192426
"Species","BL30","D07","Vibrio unresolved",0.157011883315431,15.7011883315431
"Species","BL30","D07","Candidatus Hamiltonella unresolved",0.0913370811559269,9.13370811559269
"Species","BL30","D07","Others",0.0642420548742283,6.42420548742283
"Species","BL30","D07","Delftia acidovorans",0.0580202107751645,5.80202107751645
"Species","BL30","D07","Buchnera unresolved",0.0455377327999449,4.55377327999449
"Species","BL30","D07","Unclassified Mycoplasmataceae genus unresolved",0.0315647607293789,3.15647607293789
"Species","BL30","D07","Bacteroides dorei",0.0286922043856448,2.86922043856448
"Species","BL30","D07","Acinetobacter johnsonii",0.0259488619437421,2.59488619437421
"Species","BL30","D07","Blautia unresolved",0.0248720118222613,2.48720118222613
"Species","BL30","D07","Cetobacterium unresolved",0.0101391083733105,1.01391083733105
"Species","BL30","D07","Streptococcus unresolved",0.00972289420941692,0.972289420941692
"Species","BL30","D07","Bacteroides thetaiotaomicron",0.00934648517793249,0.934648517793249
"Species","BL30","D07","Cutibacterium acnes",0.0022168365008468,0.22168365008468
"Species","BL30","D07","Photobacterium unresolved",0.00045828122408207,0.045828122408207
"Species","BL30","D07","Photobacterium phosphoreum",0.000385545520262447,0.0385545520262447
"Species","BL30","D30","Vibrio scophthalmi",0.448269589396993,44.8269589396993
"Species","BL30","D30","Vibrio unresolved",0.257817815136466,25.7817815136466
"Species","BL30","D30","Photobacterium unresolved",0.131673175693041,13.1673175693041
"Species","BL30","D30","Unclassified Mycoplasmataceae genus unresolved",0.0794879304696341,7.94879304696341
"Species","BL30","D30","Photobacterium phosphoreum",0.0683754454455852,6.83754454455852
"Species","BL30","D30","Others",0.00864016957720889,0.864016957720889
"Species","BL30","D30","Cutibacterium acnes",0.00190788715700523,0.190788715700523
