"tax_level","panel","timepoint","taxon_plot","mean_rel_abundance","percent"
"Family","Hydrolysate","D30","Lactobacillaceae",0.000922772017406545,0.0922772017406545
"Family","Hydrolysate","D30","Staphylococcaceae",0.000177210985550426,0.0177210985550426
"Family","Hydrolysate","D30","Pseudomonadaceae",9.92292282998258e-05,0.00992292282998258
"Family","Hydrolysate","D30","Bacillaceae",9.83502981422391e-06,0.000983502981422391
"Family","Hydrolysate","D30","Chloroplast",3.37988943255036e-06,0.000337988943255036
"Family","Hydrolysate","D30","Bacteroidaceae",0,0
"Family","Hydrolysate","D30","Comamonadaceae",0,0
"Family","Hydrolysate","D30","Lachnospiraceae",0,0
"Family","Hydrolysate","D30","Morganellaceae",0,0
"Family","Hydrolysate","D90","Mycoplasmataceae",0.718904727506112,71.8904727506112
"Family","Hydrolysate","D90","Vibrionaceae",0.274696047454618,27.4696047454618
"Family","Hydrolysate","D90","Fusobacteriaceae",0.00262923597300856,0.262923597300857
"Family","Hydrolysate","D90","Others",0.00139225078648625,0.139225078648625
"Family","Hydrolysate","D90","Moraxellaceae",0.00076367570386211,0.076367570386211
"Family","Hydrolysate","D90","Streptococcaceae",0.000635786160266865,0.0635786160266865
"Family","Hydrolysate","D90","Staphylococcaceae",0.000344926230567892,0.0344926230567892
"Family","Hydrolysate","D90","Lactobacillaceae",0.000213347591900705,0.0213347591900705
"Family","Hydrolysate","D90","Propionibacteriaceae",0.000195356736259264,0.0195356736259264
"Family","Hydrolysate","D90","Chloroplast",0.000185969553388737,0.0185969553388737
"Family","Hydrolysate","D90","Pseudomonadaceae",3.64063569418645e-05,0.00364063569418645
"Family","Hydrolysate","D90","Bacillaceae",2.26994658815678e-06,0.000226994658815678
"Family","Hydrolysate","D90","Bacteroidaceae",0,0
"Family","Hydrolysate","D90","Comamonadaceae",0,0
"Family","Hydrolysate","D90","Lachnospiraceae",0,0
"Family","Hydrolysate","D90","Morganellaceae",0,0
