"diet_code","timepoint","diet_time","taxon_plot","mean_rel_abundance"
"BL15","D90","BL15_D90","Bacillaceae",4.38856340376978e-06
"BL15","D90","BL15_D90","Pseudomonadaceae",7.03856234209381e-05
"BL15","D90","BL15_D90","Staphylococcaceae",8.69414014953921e-06
"BL15","D90","BL15_D90","Chloroplast",9.66615276025469e-05
"BL30","D30","BL30_D30","Vibrionaceae",0.906136025672085
"BL30","D30","BL30_D30","Mycoplasmataceae",0.0828915687374038
"BL30","D30","BL30_D30","Comamonadaceae",0
"BL30","D30","BL30_D30","Fusobacteriaceae",0.00176017200475316
"BL30","D30","BL30_D30","Morganellaceae",0
"BL30","D30","BL30_D30","Others",0.00381517325349518
"BL30","D30","BL30_D30","Bacteroidaceae",0
"BL30","D30","BL30_D30","Lachnospiraceae",0
"BL30","D30","BL30_D30","Streptococcaceae",0.00174929662192997
"BL30","D30","BL30_D30","Propionibacteriaceae",0.00190788715700523
"BL30","D30","BL30_D30","Lactobacillaceae",0.000251090100897302
"BL30","D30","BL30_D30","Moraxellaceae",0.00104854194087027
"BL30","D30","BL30_D30","Bacillaceae",0
"BL30","D30","BL30_D30","Pseudomonadaceae",9.06294213311448e-05
"BL30","D30","BL30_D30","Staphylococcaceae",0.000349615090229116
"BL30","D30","BL30_D30","Chloroplast",0
"BL30","D07","BL30_D07","Vibrionaceae",0.598359757252202
"BL30","D07","BL30_D07","Mycoplasmataceae",0.0315647607293789
"BL30","D07","BL30_D07","Comamonadaceae",0.0580202107751645
"BL30","D07","BL30_D07","Fusobacteriaceae",0.0101391083733105
"BL30","D07","BL30_D07","Morganellaceae",0.136874813955872
"BL30","D07","BL30_D07","Others",0.0221005096625222
"BL30","D07","BL30_D07","Bacteroidaceae",0.041896096933154
"BL30","D07","BL30_D07","Lachnospiraceae",0.0396964535222686
"BL30","D07","BL30_D07","Streptococcaceae",0.00972900380331221
"BL30","D07","BL30_D07","Propionibacteriaceae",0.0022168365008468
"BL30","D07","BL30_D07","Lactobacillaceae",0.000626421119565879
"BL30","D07","BL30_D07","Moraxellaceae",0.028953950006565
"BL30","D07","BL30_D07","Bacillaceae",0.00506971730591285
"BL30","D07","BL30_D07","Pseudomonadaceae",0.000564496104875438
"BL30","D07","BL30_D07","Staphylococcaceae",0.00732360365806026
"BL30","D07","BL30_D07","Chloroplast",0.00686426029698959
"BL30","D90","BL30_D90","Vibrionaceae",0.225744932673656
"BL30","D90","BL30_D90","Mycoplasmataceae",0.769301918253294
"BL30","D90","BL30_D90","Comamonadaceae",0
"BL30","D90","BL30_D90","Fusobacteriaceae",0.00148135313022687
"BL30","D90","BL30_D90","Morganellaceae",0
"BL30","D90","BL30_D90","Others",0.000583211657173646
"BL30","D90","BL30_D90","Bacteroidaceae",0
"BL30","D90","BL30_D90","Lachnospiraceae",0
"BL30","D90","BL30_D90","Streptococcaceae",0.00118066415644399
"BL30","D90","BL30_D90","Propionibacteriaceae",0.000240205911644654
"BL30","D90","BL30_D90","Lactobacillaceae",0.000380509933476024
"BL30","D90","BL30_D90","Moraxellaceae",0.000100372661337535
"BL30","D90","BL30_D90","Bacillaceae",0
"BL30","D90","BL30_D90","Pseudomonadaceae",0
"BL30","D90","BL30_D90","Staphylococcaceae",0.00070517489887327
"BL30","D90","BL30_D90","Chloroplast",0.000281656723873941
