"tax_level","timepoint","group","taxon_plot","mean_rel_abundance","percent"
"Family","D30","BL30","Moraxellaceae",0.00104854194087027,0.104854194087027
"Family","D30","BL30","Staphylococcaceae",0.000349615090229116,0.0349615090229116
"Family","D30","BL30","Lactobacillaceae",0.000251090100897302,0.0251090100897302
"Family","D30","BL30","Pseudomonadaceae",9.06294213311448e-05,0.00906294213311448
"Family","D30","BL30","Bacillaceae",0,0
"Family","D30","BL30","Bacteroidaceae",0,0
"Family","D30","BL30","Chloroplast",0,0
"Family","D30","BL30","Comamonadaceae",0,0
"Family","D30","BL30","Lachnospiraceae",0,0
"Family","D30","BL30","Morganellaceae",0,0
"Family","D90","Ctrl","Mycoplasmataceae",0.522796136468771,52.2796136468771
"Family","D90","Ctrl","Vibrionaceae",0.376249489083551,37.6249489083551
"Family","D90","Ctrl","Fusobacteriaceae",0.0931661333308732,9.31661333308732
"Family","D90","Ctrl","Others",0.00531357066145695,0.531357066145695
"Family","D90","Ctrl","Chloroplast",0.000787979519324212,0.0787979519324212
"Family","D90","Ctrl","Lactobacillaceae",0.000559464544690497,0.0559464544690497
"Family","D90","Ctrl","Streptococcaceae",0.000367617502907231,0.0367617502907231
"Family","D90","Ctrl","Propionibacteriaceae",0.000359994912409151,0.0359994912409151
"Family","D90","Ctrl","Pseudomonadaceae",0.000137828820425001,0.0137828820425001
"Family","D90","Ctrl","Moraxellaceae",0.000132526387371024,0.0132526387371024
"Family","D90","Ctrl","Comamonadaceae",5.09267795836297e-05,0.00509267795836297
"Family","D90","Ctrl","Staphylococcaceae",4.24395505962412e-05,0.00424395505962412
"Family","D90","Ctrl","Bacillaceae",3.23802463455057e-05,0.00323802463455058
"Family","D90","Ctrl","Bacteroidaceae",3.51219169542274e-06,0.000351219169542274
"Family","D90","Ctrl","Lachnospiraceae",0,0
"Family","D90","Ctrl","Morganellaceae",0,0
"Family","D90","BL15","Mycoplasmataceae",0.671867349475409,67.1867349475409
"Family","D90","BL15","Vibrionaceae",0.320383754583515,32.0383754583515
"Family","D90","BL15","Fusobacteriaceae",0.00370059329293814,0.370059329293814
"Family","D90","BL15","Others",0.00214735397384468,0.214735397384468
"Family","D90","BL15","Moraxellaceae",0.00138275854355171,0.138275854355171
"Family","D90","BL15","Propionibacteriaceae",0.000153497505899567,0.0153497505899567
"Family","D90","BL15","Streptococcaceae",0.000127233363834878,0.0127233363834878
"Family","D90","BL15","Chloroplast",9.66615276025469e-05,0.00966615276025469
"Family","D90","BL15","Pseudomonadaceae",7.03856234209381e-05,0.00703856234209381
"Family","D90","BL15","Lactobacillaceae",5.73294064304079e-05,0.0057329406430408
"Family","D90","BL15","Staphylococcaceae",8.69414014953921e-06,0.000869414014953921
"Family","D90","BL15","Bacillaceae",4.38856340376978e-06,0.000438856340376978
"Family","D90","BL15","Bacteroidaceae",0,0
"Family","D90","BL15","Comamonadaceae",0,0
"Family","D90","BL15","Lachnospiraceae",0,0
"Family","D90","BL15","Morganellaceae",0,0
"Family","D90","BL30","Mycoplasmataceae",0.769301918253294,76.9301918253294
"Family","D90","BL30","Vibrionaceae",0.225744932673656,22.5744932673656
"Family","D90","BL30","Fusobacteriaceae",0.00148135313022687,0.148135313022687
"Family","D90","BL30","Streptococcaceae",0.00118066415644399,0.118066415644399
"Family","D90","BL30","Staphylococcaceae",0.00070517489887327,0.070517489887327
"Family","D90","BL30","Others",0.000583211657173646,0.0583211657173646
"Family","D90","BL30","Lactobacillaceae",0.000380509933476024,0.0380509933476024
"Family","D90","BL30","Chloroplast",0.000281656723873941,0.0281656723873941
"Family","D90","BL30","Propionibacteriaceae",0.000240205911644654,0.0240205911644654
"Family","D90","BL30","Moraxellaceae",0.000100372661337535,0.0100372661337535
"Family","D90","BL30","Bacillaceae",0,0
"Family","D90","BL30","Bacteroidaceae",0,0
"Family","D90","BL30","Comamonadaceae",0,0
"Family","D90","BL30","Lachnospiraceae",0,0
"Family","D90","BL30","Morganellaceae",0,0
"Family","D90","BL30","Pseudomonadaceae",0,0
