"taxon_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","level","comparison","family","group_variable","reference","contrast","adjustment","n_reference","n_contrast","Kingdom","Phylum","Class","Order","Family","Genus","Species","Species_addSpecies","taxon_label","significant"
"ASV00002",25169.3578617085,4.15550486466145,0.795583963454411,5.22321345772019,1.75844485558122e-07,1.12540470757198e-06,"DESeq2","asv","Hydrolysate_D90_vs_D30","time_within_hydro_group","timepoint","D30","D90","",29,29,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00002)",TRUE
"ASV00177",64.9727955024382,10.3689491740124,2.02323165250586,5.12494412647709,2.97625993446148e-07,1.17483944781374e-06,"DESeq2","asv","BL30_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,14,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00177)",TRUE
"ASV00177",77.4729918303878,10.0987365480047,1.96074814999909,5.15045063182101,2.59861329044171e-07,1.40325117683853e-06,"DESeq2","asv","BL30_D90_vs_D30","time_within_diet","timepoint","D30","D90","",14,14,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00177)",TRUE
"ASV00011",1580.43967147837,-4.47214656451497,0.900761552005484,-4.9648506361734,6.87539633148699e-07,3.66687804345973e-06,"DESeq2","asv","Hydrolysate_D90_vs_D30","time_within_hydro_group","timepoint","D30","D90","",29,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,"Vibrio (ASV00011)",TRUE
"ASV00020",275.35787586404,7.78791706407718,1.54398708456135,5.04402992871521,4.55827954817285e-07,4.55827954817285e-06,"DESeq2","asv","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium","phosphoreum","piscicola","phosphoreum (ASV00020)",TRUE
"ASV00006",987.704450007021,-10.3009971214841,2.10429747303107,-4.8952190712116,9.81962768952055e-07,6.59317859153523e-06,"DESeq2","asv","Ctrl_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","acidovorans","acidovorans/lacustris/tsuruhatensis","acidovorans (ASV00006)",TRUE
"ASV00020",934.386367951877,-11.8617305431209,2.39273984440524,-4.95738413470074,7.14486249677622e-07,6.90670041355035e-06,"DESeq2","asv","BL15_D90_vs_D30","time_within_diet","timepoint","D30","D90","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium","phosphoreum","piscicola","phosphoreum (ASV00020)",TRUE
"ASV00016",292.952057753513,11.5169556411642,2.23214603243625,5.15958878756427,2.47492832117626e-07,1.02090793248521e-05,"DESeq2","asv","global_BL15_vs_Ctrl","global_diet_adjusted_time","diet_code","Ctrl","BL15","timepoint",45,45,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium","phosphoreum","phosphoreum/piscicola","phosphoreum (ASV00016)",TRUE
"ASV00008",1944.15196706233,-4.21906185794399,0.921919025148854,-4.57639092247042,4.73066185481717e-06,2.16258827648785e-05,"DESeq2","asv","Hydrolysate_D90_vs_D30","time_within_hydro_group","timepoint","D30","D90","",29,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,"renipiscarius","Vibrio (ASV00008)",TRUE
"ASV00020",891.566775023832,7.93358624676952,1.74410990923555,4.54878801201631,5.39557613344318e-06,2.29311985671335e-05,"DESeq2","asv","Hydrolysate_D30_vs_D07","time_within_hydro_group","timepoint","D07","D30","",30,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium","phosphoreum","piscicola","phosphoreum (ASV00020)",TRUE
"ASV00013",1163.7290085575,-4.30031604813723,0.95380583360287,-4.50858644037999,6.52609794720826e-06,2.6104391788833e-05,"DESeq2","asv","Hydrolysate_D90_vs_D30","time_within_hydro_group","timepoint","D30","D90","",29,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,"renipiscarius","Vibrio (ASV00013)",TRUE
"ASV00016",181.436468912488,11.5405975896127,2.35461296897469,4.90127156423418,9.52183247399693e-07,3.85634215196876e-05,"DESeq2","asv","global_BL30_vs_Ctrl","global_diet_adjusted_time","diet_code","Ctrl","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium","phosphoreum","phosphoreum/piscicola","phosphoreum (ASV00016)",TRUE
"ASV00031",67.4461148732203,-9.00917035055114,1.9959009367535,-4.51383642577236,6.36653277758603e-06,3.9613981727202e-05,"DESeq2","asv","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron","thetaiotaomicron","thetaiotaomicron (ASV00031)",TRUE
"ASV00009",1472.65484622815,-6.41874225329998,1.47408612450891,-4.35438753989924,1.33439461758122e-05,4.74451419584433e-05,"DESeq2","asv","Hydrolysate_D90_vs_D30","time_within_hydro_group","timepoint","D30","D90","",29,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,"phosphoreum/piscicola","Photobacterium (ASV00009)",TRUE
"ASV00002",235.127268373205,10.9783000788131,2.40931027458265,4.55661530797016,5.19845065605745e-06,5.45837318886032e-05,"DESeq2","asv","BL15_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00002)",TRUE
"ASV00002",146832.314122003,4.81587506977918,0.997593426568251,4.82749278565911,1.38262695895944e-06,7.05139749069315e-05,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00002)",TRUE
"ASV00086",36.0930294063296,9.54832711501238,2.23309211850516,4.27583216826901,1.90424643019672e-05,7.1409241132377e-05,"DESeq2","asv","BL30_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,14,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00086)",TRUE
"ASV00016",1056.57409642507,10.7712717606877,2.30767829671458,4.66757943515033,3.04768935223083e-06,8.99068358908094e-05,"DESeq2","asv","t30_Hydrolysate_vs_Ctrl","hydro_by_time","hydro_group","Ctrl","Hydrolysate","",15,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium","phosphoreum","phosphoreum/piscicola","phosphoreum (ASV00016)",TRUE
"ASV00098",42.7685481086518,-9.04738111773641,1.99410275516299,-4.53706866123703,5.70415394490022e-06,0.000101248732521979,"DESeq2","asv","t7_BL30_vs_Ctrl","diet_by_time","diet_code","Ctrl","BL30","",15,15,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Priestia",,"aryabhattai","Priestia (ASV00098)",TRUE
"ASV00037",47.062925676633,-8.49042995160289,1.97930952734617,-4.28959181689322,1.79001800197033e-05,0.000105516850642462,"DESeq2","asv","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",,"albilineans/cristatus/equinus/pneumoniae/salivarius/vestibularis","Streptococcus (ASV00037)",TRUE
"ASV00020",372.327880668016,8.77643858148804,1.89138121803487,4.64022720422629,3.48026323070046e-06,0.000114848686613115,"DESeq2","asv","global_BL15_vs_Ctrl","global_diet_adjusted_time","diet_code","Ctrl","BL15","timepoint",45,45,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium","phosphoreum","piscicola","phosphoreum (ASV00020)",TRUE
"ASV00009",2187.34303511552,7.40801351801391,1.64186287059819,4.51195629712663,6.42324248916941e-06,0.000126323768953665,"DESeq2","asv","t30_Hydrolysate_vs_Ctrl","hydro_by_time","hydro_group","Ctrl","Hydrolysate","",15,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,"phosphoreum/piscicola","Photobacterium (ASV00009)",TRUE
"ASV00098",24.3844853905566,-8.63743789690949,1.88854886620076,-4.57358453969243,4.79450094888475e-06,0.000140958327897212,"DESeq2","asv","t7_Hydrolysate_vs_Ctrl","hydro_by_time","hydro_group","Ctrl","Hydrolysate","",15,30,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Priestia",,"aryabhattai","Priestia (ASV00098)",TRUE
"ASV00015",201.602668976604,-11.5783438953954,2.86481030746952,-4.04157436365222,5.30935383596041e-05,0.000169899322750733,"DESeq2","asv","Hydrolysate_D90_vs_D30","time_within_hydro_group","timepoint","D30","D90","",29,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,"aquimaris/phosphoreum","Photobacterium (ASV00015)",TRUE
"ASV00031",70.5850721460317,-8.80554166165375,2.09919501070399,-4.19472303275946,2.73205212589956e-05,0.000171208599889706,"DESeq2","asv","Ctrl_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,15,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron","thetaiotaomicron","thetaiotaomicron (ASV00031)",TRUE
"ASV00059",39.0779511576089,-8.22239296641997,1.97610060293026,-4.16091820134431,3.16970610384998e-05,0.000177503541815599,"DESeq2","asv","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",,"baetica/chlororaphis/fluorescens/fulva/granadensis/koreensis/kribbensis/moraviensis/putida/reinekei/teessidea","Pseudomonas (ASV00059)",TRUE
"ASV00009",1328.61718215564,7.72649128583177,1.93277171577058,3.99762228657785,6.39819389760473e-05,0.00021593904404416,"DESeq2","asv","BL30_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,14,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,"phosphoreum/piscicola","Photobacterium (ASV00009)",TRUE
"ASV00002",1398.49331422041,6.91267653687175,1.59856412608336,4.32430355722325,1.53014481817375e-05,0.000225696360680629,"DESeq2","asv","t30_Hydrolysate_vs_Ctrl","hydro_by_time","hydro_group","Ctrl","Hydrolysate","",15,29,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00002)",TRUE
"ASV00054",28.1856732982668,-7.75221814923614,1.91461885099877,-4.04896157017997,5.14453906531029e-05,0.000274375416816549,"DESeq2","asv","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,"massiliensis","Blautia (ASV00054)",TRUE
"ASV00021",373.905703420987,-4.56943664615748,1.18202705737021,-3.86576315463,0.000110742368655493,0.000322159617906889,"DESeq2","asv","Hydrolysate_D90_vs_D30","time_within_hydro_group","timepoint","D30","D90","",29,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,"Vibrio (ASV00021)",TRUE
"ASV00037",49.3011955097071,-8.28808241488519,2.07742711390391,-3.98958998821873,6.61876056956274e-05,0.000388852183461811,"DESeq2","asv","Ctrl_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,15,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",,"albilineans/cristatus/equinus/pneumoniae/salivarius/vestibularis","Streptococcus (ASV00037)",TRUE
"ASV00016",584.018166455754,-7.90679596434411,2.08374178694325,-3.79451811826598,0.000147930479869256,0.000394481279651351,"DESeq2","asv","Hydrolysate_D90_vs_D30","time_within_hydro_group","timepoint","D30","D90","",29,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium","phosphoreum","phosphoreum/piscicola","phosphoreum (ASV00016)",TRUE
"ASV00098",42.6554579595072,-8.92461865245507,2.05408671208929,-4.34481105394888,1.39395593192771e-05,0.000398671396531324,"DESeq2","asv","t7_BL15_vs_Ctrl","diet_by_time","diet_code","Ctrl","BL15","",15,15,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Priestia",,"aryabhattai","Priestia (ASV00098)",TRUE
"ASV00086",20.0973361353532,8.20274038416867,2.10862080971052,3.89009742595435,0.000100203983780666,0.000450917927012998,"DESeq2","asv","BL30_D90_vs_D30","time_within_diet","timepoint","D30","D90","",14,14,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00086)",TRUE
"ASV00084",24.0872389107066,-7.52532293678466,1.93372455249358,-3.89162092764485,9.95767373875593e-05,0.000503229827017118,"DESeq2","asv","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","vancouverensis","chlororaphis/fluorescens/jessenii/koreensis/lutea/mohnii/moorei/putida/umsongensis/vancouverensis","vancouverensis (ASV00084)",TRUE
"ASV00098",23.870874888004,-7.51120579147617,1.93457712948457,-3.88260859543882,0.00010334183947673,0.000503229827017118,"DESeq2","asv","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Priestia",,"aryabhattai","Priestia (ASV00098)",TRUE
"ASV00002",3157.90260514109,7.91907767402931,2.11465394360778,3.74485749688135,0.000180496195757453,0.000573340857111911,"DESeq2","asv","BL30_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,14,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00002)",TRUE
"ASV00059",39.7404794594028,-7.9771653528659,2.08033577524547,-3.83455663637984,0.000125790986370002,0.000695550159928244,"DESeq2","asv","Ctrl_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",,"baetica/chlororaphis/fluorescens/fulva/granadensis/koreensis/kribbensis/moraviensis/putida/reinekei/teessidea","Pseudomonas (ASV00059)",TRUE
"ASV00011",1777.64037236283,-5.03913605862483,1.34936720591068,-3.73444384638349,0.000188130459624984,0.000725646058553508,"DESeq2","asv","BL30_D90_vs_D30","time_within_diet","timepoint","D30","D90","",14,14,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,"Vibrio (ASV00011)",TRUE
"ASV00053",28.7956114716534,-7.78124344669253,2.06742302425408,-3.76374034506073,0.000167390692040771,0.000781156562856929,"DESeq2","asv","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter",,"saccharivorans","Fusicatenibacter (ASV00053)",TRUE
"ASV00057",28.7991629474438,-7.78127060390802,2.0760442192405,-3.74812373059892,0.000178162364311514,0.000798167392115582,"DESeq2","asv","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","bromii","bromii","bromii (ASV00057)",TRUE
"ASV00099",32.4651131932477,-8.21780934778258,2.03485054416523,-4.03853215232267,5.37867217607045e-05,0.00084863494333556,"DESeq2","asv","t7_BL30_vs_Ctrl","diet_by_time","diet_code","Ctrl","BL30","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","corrugata","brassicacearum/chlororaphis/corrugata/fluorescens/jessenii/kilonensis/mohnii/putida/synxantha","corrugata (ASV00099)",TRUE
"ASV00068",17.0374126830052,-7.02707584136895,1.89190521598246,-3.71428535742992,0.000203778747094376,0.000877816141329619,"DESeq2","asv","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","merdae","merdae","merdae (ASV00068)",TRUE
"ASV00009",836.801306114831,7.26867207592339,1.75689652524683,4.13722263745851,3.5153498459639e-05,0.000966721207640071,"DESeq2","asv","global_BL15_vs_Ctrl","global_diet_adjusted_time","diet_code","Ctrl","BL15","timepoint",45,45,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,"phosphoreum/piscicola","Photobacterium (ASV00009)",TRUE
"ASV00047",22.6383625808758,-6.26576532214097,1.71166114234929,-3.66063420329861,0.000251591733131981,0.00101834749124849,"DESeq2","asv","Hydrolysate_D30_vs_D07","time_within_hydro_group","timepoint","D07","D30","",30,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","johnsonii","bouvetii/haemolyticus/johnsonii","johnsonii (ASV00047)",TRUE
"ASV00002",119226.985369412,7.51731904549346,2.08416717905493,3.60686950693764,0.000309913417084857,0.00110683363244592,"DESeq2","asv","BL30_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,14,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00002)",TRUE
