"taxon_id","we.ep","we.eBH","wi.ep","wi.eBH","rab.all","rab.win.Ctrl","rab.win.Hydrolysate","diff.btw","diff.win","effect","overlap","method","level","comparison","family","group_variable","reference","contrast","adjustment","n_reference","n_contrast","Kingdom","Phylum","Class","Order","Family","Genus","Species","Species_addSpecies","taxon_label","significant","rab.win.BL15","rab.win.BL30","rab.win.D07","rab.win.D90","rab.win.D30"
"ASV00002",2.01535630198202e-10,2.96257376391357e-08,0,0,9.13589576651884,,,17.7200770236617,4.02447991860245,4.50634055464439,7.31013585638352e-05,"ALDEx2","asv","BL15_D90_vs_D07","time_within_diet","timepoint","D07","D90","none_binary_aldex2",15,15,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00002)",TRUE,,,-0.525651684373534,17.185659619808,
"ASV00002",6.93889390390723e-18,1.10328413072125e-15,8.8557633448616e-15,1.40806637183299e-12,12.4217100126749,,,18.4150798229814,4.43180537643669,4.03777259194417,0.00700096685592003,"ALDEx2","asv","Hydrolysate_D90_vs_D07","time_within_hydro_group","timepoint","D07","D90","none_binary_aldex2",30,29,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00002)",TRUE,,,-0.890404538896542,17.6587406479978,
"ASV00002",6.88139725930903e-09,5.43630383485413e-07,6.54823955476003e-11,5.17310924826042e-09,14.5234986956484,,,9.98631425784866,6.35434945763227,1.33800784826225,0.0484653257108753,"ALDEx2","asv","Hydrolysate_D90_vs_D30","time_within_hydro_group","timepoint","D30","D90","none_binary_aldex2",29,29,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00002)",TRUE,,,,17.6623350008042,7.23495869167308
"ASV00002",2.09941808590464e-08,1.57456356442848e-06,5.64088440714594e-09,4.23066330535946e-07,11.9501686062906,,,14.5556774672477,5.33215018426329,2.59829105374323,0.00105213450695922,"ALDEx2","asv","Ctrl_D90_vs_D30","time_within_diet","timepoint","D30","D90","none_binary_aldex2",15,15,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00002)",TRUE,,,,16.051264971792,1.37215004248971
"ASV00002",5.48716498783436e-06,0.000384101549148405,4.50666372176466e-06,0.000315466460523526,13.3528402974324,,,11.7407304743208,6.53705294993397,1.72574385706321,0.0583335150904738,"ALDEx2","asv","BL15_D90_vs_D30","time_within_diet","timepoint","D30","D90","none_binary_aldex2",15,15,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00002)",TRUE,,,,17.0045301744623,5.21424221414191
"ASV00002",0.000216426096227131,0.00977212044056245,7.54168785492039e-06,0.000480462927130964,14.7641621930033,,,7.52217300579997,5.63737787824532,1.26607127508742,0.0524555908015075,"ALDEx2","asv","BL30_D90_vs_D30","time_within_diet","timepoint","D30","D90","none_binary_aldex2",14,14,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00002)",TRUE,,,,17.7119191837399,9.77550424119434
"ASV00002",3.17028612242462e-07,4.91394348975816e-05,3.9582891732462e-06,0.000613534821853161,13.0740242497903,,,17.3221622935485,5.78990393340257,2.87770900106136,0.0572918519598943,"ALDEx2","asv","Ctrl_D90_vs_D07","time_within_diet","timepoint","D07","D90","none_binary_aldex2",15,15,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00002)",TRUE,,,-1.28620687506861,16.2625125812278,
"ASV00177",0.00327321697746076,0.0589163071766107,0.00164461610031757,0.0410834789829832,1.30643983294033,,,6.72056177562623,5.3185771582753,1.12292736985704,0.137123825228459,"ALDEx2","asv","BL30_D90_vs_D30","time_within_diet","timepoint","D30","D90","none_binary_aldex2",14,14,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus (ASV00177)",TRUE,,,,6.73505657338149,-0.764653913360855
