"taxon_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","level","comparison","family","group_variable","reference","contrast","adjustment","n_reference","n_contrast","Kingdom","Phylum","Class","Order","Family","Genus","Species","Species_addSpecies","taxon_label","significant"
"ASV00006",421.427731831015,-2.13785767723207,1.79219676525607,-1.19286995640047,0.232920307090641,0.98789635871281,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","acidovorans","acidovorans/lacustris/tsuruhatensis","acidovorans (ASV00006)",FALSE
"ASV00007",445.437653547769,-2.43592749509159,1.00839029834223,-2.41565939209867,0.0157067463103679,0.246395950234827,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,,"Cetobacterium (ASV00007)",FALSE
"ASV00008",1251.83147596152,1.94616715768786,0.808698287222639,2.40654294492412,0.0161043104728645,0.246395950234827,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,"renipiscarius","Vibrio (ASV00008)",FALSE
"ASV00009",4820.39390378043,3.44352062940731,1.35469407242839,2.54191754396219,0.0110246178330411,0.210845816056912,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,"phosphoreum/piscicola","Photobacterium (ASV00009)",FALSE
"ASV00010",963.047574962288,-0.98373458644873,0.688336130347714,-1.42914855559274,0.152961540167907,0.98789635871281,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,"alginolyticus/parahaemolyticus/rotiferianus","Vibrio (ASV00010)",FALSE
"ASV00011",1008.89114579904,1.72483342728864,0.838118028196218,2.0579839226234,0.0395916767518031,0.432680467358991,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,"Vibrio (ASV00011)",FALSE
"ASV00012",183.396342438633,1.16643764970768,1.95259213501887,0.597379057709053,0.550254332545957,0.98789635871281,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",,"defensa","Candidatus Hamiltonella (ASV00012)",FALSE
"ASV00013",743.69304302062,2.00589065535853,0.859127197052801,2.33480055367779,0.0195538422702005,0.249311488945056,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,"renipiscarius","Vibrio (ASV00013)",FALSE
"ASV00014",788.984940723583,-0.368319294319368,0.842551661975689,-0.437147430764899,0.662004431276676,0.98789635871281,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,"Vibrio (ASV00014)",FALSE
"ASV00015",38.585818032323,-5.58865329877235,2.57726165581991,-2.16844622126442,0.0301247521842689,0.35454516032255,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,"aquimaris/phosphoreum","Photobacterium (ASV00015)",FALSE
