"taxon_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","level","model","term","full_model","reduced_model","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","Species_addSpecies","taxon_label"
"ASV00001",56309.149070875,0.137113596584994,0.553201417662523,1.63168217997463,0.442267184379922,1,"DESeq2","genus","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,"Vibrio"
"ASV00002",49946.8016832435,-1.46108264038605,1.10307558933467,0.637208725072242,0.727163185401277,1,"DESeq2","genus","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus"
"ASV00006",307.137399674708,-4.65547321688135,1.50676940166757,0.109439466357912,0.946750453513502,1,"DESeq2","genus","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",,,"Delftia"
"ASV00007",513.839846221833,-1.83029748841583,0.990831344822554,9.63691785100514,0.00807922824290758,0.311050287351942,"DESeq2","genus","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,,"Cetobacterium"
"ASV00009",1815.92507608268,8.80490066995343,1.3329566124662,22.5049303911187,1.29752716130977e-05,0.000999095914208519,"DESeq2","genus","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,,"Photobacterium"
"ASV00012",180.208582774288,-0.164467088090943,1.55720968535823,0.375502562719532,0.828820824787518,1,"DESeq2","genus","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",,,"Candidatus Hamiltonella"
"ASV00017",80.2024051124908,0.107215016048498,1.52137200074092,0.358453223713468,0.835916449353371,1,"DESeq2","genus","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",,,"Buchnera"
"ASV00018",1.79904185558365,-0.180515819881862,2.24163975052718,0.193100484348662,0.907964278354195,1,"DESeq2","genus","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",,,,"Unclassified Mitochondria genus"
"ASV00019",77.2825183948853,-1.36333775483559,1.47421561726803,0.00648662357571084,0.996761942066324,1,"DESeq2","genus","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",,,"Bacteroides"
"ASV00025",46.61767570064,-0.148218979512649,1.53144291166684,0.413249204706972,0.813324912944659,1,"DESeq2","genus","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,,"Blautia"
