"taxon_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","level","comparison","family","group_variable","reference","contrast","adjustment","n_reference","n_contrast","Kingdom","Phylum","Class","Order","Family","Genus","Species","Species_addSpecies","taxon_label","significant"
"ASV00006",66.6091723120477,-25.9614528862546,2.46020558826368,-10.5525542296558,4.94346140458855e-26,3.26268452702844e-25,"DESeq2","genus","BL30_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,14,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",,,"Delftia",TRUE
"ASV00012",510.187723977052,-27.9445184113082,2.70805923795055,-10.3190203595607,5.78099732677076e-25,1.96553909110206e-23,"DESeq2","genus","BL30_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,14,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",,,"Candidatus Hamiltonella",TRUE
"ASV00017",247.960285777778,-27.6119224031433,2.67023944697532,-10.3406166193898,4.6155801328418e-25,1.96553909110206e-23,"DESeq2","genus","BL30_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,14,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",,,"Buchnera",TRUE
"ASV00019",220.563317384119,-27.4732027422108,2.67321789006426,-10.2772029337086,8.92810555804232e-25,2.02370392648959e-23,"DESeq2","genus","BL30_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,14,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",,,"Bacteroides",TRUE
"ASV00111",20.9688665187282,-24.3559719054686,2.35868745433619,-10.3260700609963,5.37164754671512e-25,3.86758623363489e-23,"DESeq2","genus","t7_BL30_vs_Ctrl","diet_by_time","diet_code","Ctrl","BL30","",15,15,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Neobacillus",,,"Neobacillus",TRUE
"ASV00052",19.6923426408157,-24.3325006218694,2.39186113527985,-10.1730406765535,2.61611848881705e-24,8.37157916421458e-23,"DESeq2","genus","BL15_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",,,"Brevundimonas",TRUE
"ASV00006",94.2149397158996,-26.2929165036874,2.62188719018015,-10.0282409564238,1.145389028306e-23,1.9471613481202e-22,"DESeq2","genus","BL30_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,14,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",,,"Delftia",TRUE
"ASV00052",18.6508022104159,-23.4004996390225,2.39649883979242,-9.76445273015422,1.59973356307696e-22,3.30611603035905e-21,"DESeq2","genus","BL15_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,15,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",,,"Brevundimonas",TRUE
"ASV00009",15.5825732154606,22.8295937504147,2.32408530327128,9.82304466978073,8.95958178460609e-23,6.54049470276244e-21,"DESeq2","genus","t7_Hydrolysate_vs_Ctrl","hydro_by_time","hydro_group","Ctrl","Hydrolysate","",15,30,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,,"Photobacterium",TRUE
"ASV00025",93.7682031410342,-25.4543903488828,2.66855646253356,-9.53863660232096,1.44722359647851e-21,7.95972978063179e-21,"DESeq2","genus","BL30_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,14,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,,"Blautia",TRUE
"ASV00049",18.3400420686244,-24.0937419302056,2.54989809538197,-9.44890384986012,3.42397427092032e-21,1.61415929914815e-20,"DESeq2","genus","BL30_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,14,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",,,"Bacillus",TRUE
"ASV00025",132.428517591941,-26.7722511649327,2.83529675428246,-9.44248644326051,3.64036434084466e-21,4.95089550354874e-20,"DESeq2","genus","BL30_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,14,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,,"Blautia",TRUE
"ASV00195",11.2053043287523,-23.3260219782402,2.49863531394254,-9.33550480459456,1.00511134340893e-20,7.23680167254428e-19,"DESeq2","genus","t7_BL15_vs_Ctrl","diet_by_time","diet_code","Ctrl","BL15","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",,,"Burkholderia-Caballeronia-Paraburkholderia",TRUE
"ASV00019",63.4227749895011,-25.9697259930594,2.87488086451554,-9.03332249819529,1.66536992042585e-19,2.66459187268135e-18,"DESeq2","genus","BL15_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",,,"Bacteroides",TRUE
"ASV00025",32.1507810682867,-25.0393962279379,2.76468901083408,-9.05685816010957,1.34262020790952e-19,2.66459187268135e-18,"DESeq2","genus","BL15_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,,"Blautia",TRUE
"ASV00049",25.8739663681626,-24.4311390937947,2.72358756049515,-8.97020512509359,2.95962743815814e-19,3.35424442991256e-18,"DESeq2","genus","BL30_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,14,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",,,"Bacillus",TRUE
"ASV00057",16.6335754060439,-23.9298562493865,2.69401952162274,-8.88258457569468,6.53245462810421e-19,6.34581306730124e-18,"DESeq2","genus","BL30_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,14,"Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",,,"Ruminococcus",TRUE
"ASV00019",59.9437105215677,-24.9940557413572,2.9332051773094,-8.5210731027974,1.58081712663761e-17,2.4502665462883e-16,"DESeq2","genus","BL15_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,15,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",,,"Bacteroides",TRUE
"ASV00025",30.4594839626968,-24.0562226737618,2.83810192313931,-8.476165876084,2.32736860890715e-17,2.88593707504487e-16,"DESeq2","genus","BL15_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,15,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,,"Blautia",TRUE
"ASV00053",16.9220666966812,-22.3037581200854,2.69247135398685,-8.28374945830318,1.19356575634739e-16,1.01453089289528e-15,"DESeq2","genus","BL30_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,14,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter",,,"Fusicatenibacter",TRUE
"ASV00017",13.874532530517,-23.6871756643751,2.9341441832909,-8.07294194991053,6.86242388144902e-16,8.78390256825475e-15,"DESeq2","genus","BL15_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",,,"Buchnera",TRUE
"ASV00030",9.57004823764999,23.9925149296874,2.93471388685511,8.17541874768522,2.94840073156993e-16,9.72972241418078e-15,"DESeq2","genus","Ctrl_D90_vs_D30","time_within_diet","timepoint","D30","D90","",15,15,"Bacteria","Bacillota","Bacilli","Lactobacillales","Listeriaceae","Listeria",,,"Listeria",TRUE
"ASV00017",13.1176454659337,-22.9190406981016,2.93374188124789,-7.8122212607037,5.6188808008446e-15,5.80617682753942e-14,"DESeq2","genus","BL15_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",,,"Buchnera",TRUE
"ASV00002",1522.10690027474,11.0168341631038,1.43510281817309,7.67668631375723,1.63256545625078e-14,1.25163351645893e-13,"DESeq2","genus","Hydrolysate_D30_vs_D07","time_within_hydro_group","timepoint","D07","D30","",30,29,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus",TRUE
"ASV00030",5.34733532377007,-22.8015784046903,2.93836047234027,-7.75996635515924,8.49519190697703e-15,2.71846141023265e-13,"DESeq2","genus","t90_BL15_vs_Ctrl","diet_by_time","diet_code","Ctrl","BL15","",15,15,"Bacteria","Bacillota","Bacilli","Lactobacillales","Listeriaceae","Listeria",,,"Listeria",TRUE
"ASV00002",19720.5417157321,9.51861995876428,1.24315348200954,7.65683408888301,1.90572571525021e-14,3.14444743016284e-13,"DESeq2","genus","Ctrl_D90_vs_D30","time_within_diet","timepoint","D30","D90","",15,15,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus",TRUE
"ASV00002",85108.4273321585,9.67276775606091,1.30105547809949,7.4345544205312,1.04921026860489e-13,4.79638979933665e-13,"DESeq2","genus","Hydrolysate_D90_vs_D07","time_within_hydro_group","timepoint","D07","D90","",30,29,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,"Unclassified Mycoplasmataceae genus",TRUE
"ASV00009",1589.27500719217,9.4199547457375,1.29247388583835,7.28831340342894,3.13859197155473e-13,2.38532989838159e-11,"DESeq2","genus","global_BL30_vs_Ctrl","global_diet_adjusted_time","diet_code","Ctrl","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,,"Photobacterium",TRUE
"ASV00009",1815.92507608268,8.2355528607861,1.15549224680883,7.12731122474476,1.0234849814971e-12,7.8808343575277e-11,"DESeq2","genus","global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","timepoint",45,88,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,,"Photobacterium",TRUE
"ASV00019",265.693259024403,-11.5353419135208,1.78086343536609,-6.47738713954195,9.33245281435038e-11,1.39986792215256e-09,"DESeq2","genus","Ctrl_D90_vs_D07","time_within_diet","timepoint","D07","D90","",15,15,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",,,"Bacteroides",TRUE
"ASV00065",38.9466602595024,-9.13403465521031,1.50081757673304,-6.08603923409075,1.15738091655684e-09,7.60564602308778e-09,"DESeq2","genus","Hydrolysate_D30_vs_D07","time_within_hydro_group","timepoint","D07","D30","",30,29,"Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast",,,,,"Unclassified Cyanobacteriota genus",TRUE
"ASV00025",168.455902511107,-9.70175702666893,1.71344294863585,-5.66214184977265,1.49495162776721e-08,9.15657872007413e-08,"DESeq2","genus","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,,"Blautia",TRUE
"ASV00059",102.083274864433,-8.98318827500716,1.6199663578501,-5.54529310530189,2.93462154817526e-08,1.59773839845097e-07,"DESeq2","genus","Ctrl_D30_vs_D07","time_within_diet","timepoint","D07","D30","",15,15,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",,,"Pseudomonas",TRUE
"ASV00009",4894.01431588048,7.14321462641592,1.28736965915266,5.54868959015048,2.87818662211171e-08,1.65495730771423e-07,"DESeq2","genus","Hydrolysate_D30_vs_D07","time_within_hydro_group","timepoint","D07","D30","",30,29,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,,"Photobacterium",TRUE
